1LIVE Krone 2016 - 1700 - Roter Teppich - Philipp Poisel-5517.jpg	Raimond Spekking | Wikimedia Commons | CC BY-SA 4.0
1LIVE Krone 2016 - 1700 - Roter Teppich - Prinz Pi-5614.jpg	Raimond Spekking | Wikimedia Commons | CC BY-SA 4.0
1LIVE Krone 2016 - 2145 - Gewinner-6813.jpg	Raimond Spekking | Wikimedia Commons | CC BY-SA 4.0
1baltomuseum.jpg	«Marylandstater» «reply» at English Wikipedia. | Wikimedia Commons | Public domain
01mihura.jpg	Cedida por Mariló Mihura. | Wikimedia Commons | CC BY 4.0
1st Earl of Halifax 1947.jpg	Yousuf Karsh | Wikimedia Commons | CC BY-SA 3.0 nl
1st meeting of 8th State Duma 07.jpg	duma.gov.ru | Wikimedia Commons | CC BY 4.0
1stViscountOssington.jpg	Wikimedia Commons | Public domain
1wieser.jpg	Wikimedia Commons | Public domain
1-DSC01372-003.jpg	Pietro Scheurer | Wikimedia Commons | CC BY-SA 4.0
1-Pikola-Amtskette-kl.jpg	Wikimedia Commons | CC BY 4.0
1-rehmann-sutter icon.jpg	Christoph Rehmann-Sutter | Wikimedia Commons | Public domain
02 Adolf Brandt (Pseudonym Felix Stillfried).jpg	Wikimedia Commons | Public domain
02 Frantz-Fanon-lors-dune-conférence-de-presse-du-Congrès-des-écrivains-à-Tunis-1959.jpg	Wikimedia Commons | Public domain
02 Manuel Toussaint pe.png	Archivo Fotográfico Manuel Toussaint | Wikimedia Commons | CC BY-SA 3.0
02 Schulze HSGH 022-001586-01 gr.jpg	Schöbinger &amp; Sandherr, Rorschacherstrasse, St.... | Wikimedia Commons | Public domain
02 wolfgang-tillmans koeln gal buchholz 120107.jpg	Hpschaefer | Wikimedia Commons | CC BY-SA 3.0
2 1930, Aligi Sassu a diciotto anni.jpg	Bixdix | Wikimedia Commons | CC BY-SA 4.0
2. Frühjahrslesung von Literatur in Weißensee am 22. Mai 2016. Norbert W. Schlinkert als literarischer Gast von Alexander Graeff, 1.jpg	Trebron24 | Wikimedia Commons | CC BY-SA 4.0
2G6A6670-Edit.jpg	MaughamPop | Wikimedia Commons | CC BY-SA 4.0
2-313 Spindler, Gerd.jpg	Paulus Belling | Wikimedia Commons | CC BY-SA 3.0
2-524 Schroeder.jpg	Photographer: Carl Kirschbaum, Hilden; Copyright h... | Wikimedia Commons | CC BY-SA 3.0 de
2-Evgenii-Aronovich-Dolmatovskii.jpg	Главархив Москвы | Wikimedia Commons | CC BY 4.0
03 Karl Erdmann Edler.jpg	Wikimedia Commons | Public domain
3 WARWICK GOBLE.jpg	story by Charles Kingsley, illustrations by Warwic... | Wikimedia Commons | Public domain
3Fi120-262 - SANS TITRE.jpg	Wikimedia Commons | CC BY-SA 4.0
3MuestrasPlasticas05.JPG	AlejandroLinaresGarcia | Wikimedia Commons | CC BY-SA 3.0
3Nuruddin Farah.jpg	Simon Fraser University Public Affairs and Media R... | Wikimedia Commons | CC BY 2.0
3rd or 4th century CE Kamasutra, Vatsyayana, 13th-century Jayamangala commentary of Yashodhara, Bendall purchase 1885CE in Nepal, Sanskrit, Devanagari.jpg	Ms Sarah Welch | Wikimedia Commons | CC BY-SA 4.0
3sat 2019.svg	Logo: 3sat SVG: Thomas R. Schwarz | Wikimedia Commons | Public domain
03-07-2020 Plamen-Doinov-1-par Kossyo Hadzhigenchev.jpg	Косьо Хаджигенчев | Wikimedia Commons | CC BY-SA 4.0
03-Riemann-Ausbuergerung.jpg	Dietmar Riemann | Wikimedia Commons | CC BY 4.0
03.08.2022 Bayerisches Nationaltheater 08.jpg	Burkhard Mücke | Wikimedia Commons | CC BY-SA 4.0
04 Adele Hindermann, deutsche Autorin.jpg	Wikimedia Commons | Public domain
04 Alice Freiin von Gaudy.jpg	Wikimedia Commons | Public domain
04 Franz Reinhold Fuchs.jpg	Wikimedia Commons | Public domain
04 Marie Hartog - zur Megede.jpg	Wikimedia Commons | Public domain
04MAR - Formation Flight Nikon -18 (25602584545).jpg	jafer24 from Ewa Beach, USA | Wikimedia Commons | CC BY-SA 2.0
